Messstelle:                ;Hötting, Bl  5 (42 A)
HZB-Nummer:                ;334102
HD-Nummer:                 ;
DBMS-Nummer:               ;7002089
Fremdnummer:               ;GW70101239
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Innsbrucker Kommunalbetriebe AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.02.2018
 Geländehöhe:              ;579,91
 Messpunkthöhe:            ;581,21
 Sohllage:                 ;573,78
 T-Messtiefe u.GOK:        ;5,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1977               ;11 20 31                 ;47 15 13
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2018 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
16.05.1988 07:01:00   ;   577,27 ;     
10.07.1989 07:01:00   ;   577,81 ;     
02.07.1990 07:01:00   ;   577,55 ;     
17.06.1991 07:01:00   ;   578,48 ;     
17.05.1992 07:01:00   ;   577,54 ;     
28.05.1993 07:01:00   ;   577,28 ;     
07.07.1994 07:01:00   ;   577,53 ;     
04.07.1995 07:01:00   ;   578,22 ;     
07.06.1996 07:01:00   ;   577,31 ;     
30.06.1997 12:00:00   ;   578,06 ;     
08.06.1998 12:00:00   ;   577,58 ;     
03.06.1999 12:00:00   ;   578,77 ;     
07.08.2000 12:00:00   ;   578,08 ;     
16.07.2001 12:00:00   ;   578,21 ;     
10.06.2003 08:57:00   ;   577,80 ;     
28.06.2004 07:30:00   ;   577,71 ;     
25.08.2005 08:25:00   ;   577,91 ;     
26.06.2006 08:25:00   ;   577,66 ;     
10.07.2007 07:15:00   ;   577,36 ;     
14.07.2008 07:40:00   ;   578,05 ;     
26.05.2009 07:20:00   ;   577,95 ;     
15.06.2010 06:55:00   ;   578,00 ;     
30.06.2011 06:55:00   ;   577,15 ;     
05.06.2012 05:55:00   ;   577,88 ;     
24.06.2013 07:55:00   ;   577,92 ;     
05.08.2014 13:25:00   ;   577,26 ;     
09.06.2015 08:10:00   ;   578,19 ;     
17.06.2016 15:00:00   ;   578,25 ;     
11.08.2017 02:00:00   ;   577,62 ;     
31.05.2018 03:00:00   ;   577,90 ;     
13.06.2019 01:00:00   ;   579,40 ;     
30.08.2020 22:00:00   ;   577,76 ;     
22.06.2021 01:00:00   ;   578,20 ;     
