Messstelle:                ;St. Stefan, Bl  2614
HZB-Nummer:                ;329987
HD-Nummer:                 ;uw2614
DBMS-Nummer:               ;6002651
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Wasserwirtschaftliche Rahmenplanung STMK
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1971
 Geländehöhe:              ;578,88
 Messpunkthöhe:            ;579,58
 Sohllage:                 ;556,58
 T-Messtiefe u.GOK:        ;6,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;14 58 29                 ;47 19 05
  01.01.1971               ;14 58 29                 ;47 19 05
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
03.06.1972 07:01:00   ;   577,14 ;     
11.05.1986 07:01:00   ;   576,20 ;     
13.06.1987 07:01:00   ;   576,23 ;     
21.05.1988 07:01:00   ;   575,80 ;     
06.07.1989 07:01:00   ;   576,89 ;     
12.07.1990 07:01:00   ;   576,23 ;     
30.07.1991 07:01:00   ;   576,32 ;     
17.05.1992 07:01:00   ;   576,39 ;     
25.10.1993 07:01:00   ;   576,32 ;     
21.05.1994 07:01:00   ;   575,66 ;     
10.05.1995 07:01:00   ;   575,76 ;     
17.05.1996 07:01:00   ;   575,95 ;     
25.06.1997 12:00:00   ;   575,95 ;     
11.10.1998 12:00:00   ;   575,56 ;     
01.09.1999 12:00:00   ;   576,29 ;     
30.04.2000 12:00:00   ;   576,19 ;     
12.05.2001 09:19:05   ;   575,90 ;     
14.08.2002 06:44:15   ;   576,26 ;     
30.05.2003 04:58:40   ;   575,34 ;     
27.06.2004 05:02:05   ;   576,03 ;     
07.10.2005 12:25:20   ;   576,44 ;     
25.05.2006 11:47:35   ;   576,01 ;     
13.07.2007 05:29:15   ;   575,80 ;     
31.05.2008 10:00:00   ;   575,79 ;     
15.05.2009 12:00:00   ;   576,11 ;     
22.06.2010 06:00:00   ;   575,69 ;     
25.06.2011 14:00:00   ;   575,66 ;     
22.07.2012 16:00:00   ;   576,94 ;     
04.05.2013 12:00:00   ;   576,31 ;     
15.09.2014 02:00:00   ;   576,31 ;     
16.05.2015 02:00:00   ;   575,62 ;     
12.08.2016 16:00:00   ;   575,85 ;     
12.08.2017 04:00:00   ;   576,28 ;     
27.04.2018 10:00:00   ;   576,08 ;     
20.11.2019 04:00:00   ;   575,98 ;     
09.09.2020 04:00:00   ;   575,74 ;     
08.06.2021 14:00:00   ;   575,69 ;     
