Messstelle:                ;Graz 12, Br  3311
HZB-Nummer:                ;318923
HD-Nummer:                 ;uw3311
DBMS-Nummer:               ;6002377
Fremdnummer:               ;STW 244
PorenGW-Gebiet:            ;380 Grazer Feld
Grundwasserkörper:         ;Grazer Feld (Graz/Andritz - Wildon) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Grazer Stadtwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.11.2021
 Geländehöhe:              ;364,31
 Messpunkthöhe:            ;364,61
 Sohllage:                 ;358,51
 T-Messtiefe u.GOK:        ;5,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 23 20                 ;47 06 34
  01.01.1976               ;15 23 20                 ;47 06 33
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1988 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
19.09.1988 07:01:00   ;   361,36 ;     
21.08.1989 07:01:00   ;   362,00 ;     
16.07.1990 07:01:00   ;   361,53 ;     
05.08.1991 07:01:00   ;   361,89 ;     
18.05.1992 07:01:00   ;   361,69 ;     
25.10.1993 07:01:00   ;   361,66 ;     
30.05.1994 07:01:00   ;   361,43 ;     
18.09.1995 07:01:00   ;   361,61 ;     
28.10.1996 07:01:00   ;   361,68 ;     
21.07.1997 12:00:00   ;   361,74 ;     
21.09.1998 12:00:00   ;   361,62 ;     
26.07.1999 07:01:00   ;   361,88 ;     
08.05.2000 07:01:00   ;   361,59 ;     
21.05.2001 07:01:00   ;   361,46 ;     
19.08.2002 07:01:00   ;   361,57 ;     
18.06.2003 07:01:00   ;   361,32 ;     
02.07.2004 07:01:00   ;   361,68 ;     
01.09.2005 07:01:00   ;   361,84 ;     
29.05.2006 07:01:00   ;   361,49 ;     
10.09.2007 07:01:00   ;   361,34 ;     
19.08.2008 07:01:00   ;   361,34 ;     
07.09.2009 07:01:00   ;   361,79 ;     
23.06.2010 04:00:00   ;   361,52 ;     
28.06.2011 07:00:00   ;   361,36 ;     
26.07.2012 00:00:00   ;   361,93 ;     
09.05.2013 01:00:00   ;   362,12 ;     
16.09.2014 20:00:00   ;   362,06 ;     
21.10.2015 00:00:00   ;   361,59 ;     
26.07.2016 07:00:00   ;   361,82 ;     
21.08.2017 07:00:00   ;   361,71 ;     
14.06.2018 07:00:00   ;   361,90 ;     
23.11.2019 09:00:00   ;   361,63 ;     
18.08.2020 19:00:00   ;   361,72 ;     
31.07.2021 07:00:00   ;   361,80 ;     
