Messstelle:                ;Muschk, Bl 205
HZB-Nummer:                ;338855
HD-Nummer:                 ;
DBMS-Nummer:               ;2002144
PorenGW-Gebiet:            ;437 Krappfeld-Hauptstockwerk
Grundwasserkörper:         ;Krappfeld [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.05.2011
 Geländehöhe:              ;579,70
 Messpunkthöhe:            ;580,67
 Sohllage:                 ;527,55
 T-Messtiefe u.GOK:        ;36,03
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  07.01.1988               ;14 27 34                 ;46 49 16
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2016 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 1.1.88: 44.15 - 27.9.02: 43.76 - 9.5.11: 36.03 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.01.2016 00:00:00   ;    13,6 ;     
01.02.2016 00:00:00   ;    13,6 ;     
01.03.2016 00:00:00   ;    13,6 ;     
01.04.2016 00:00:00   ;    13,6 ;     
01.05.2016 00:00:00   ;    13,6 ;     
01.06.2016 00:00:00   ;    13,6 ;     
01.07.2016 00:00:00   ;    13,6 ;     
01.08.2016 00:00:00   ;    13,6 ;     
01.09.2016 00:00:00   ;    13,5 ;     
01.10.2016 00:00:00   ;    13,5 ;     
01.11.2016 00:00:00   ;    13,5 ;     
01.12.2016 00:00:00   ;    13,5 ;     
01.01.2017 00:00:00   ;    13,5 ;     
01.02.2017 00:00:00   ;    13,5 ;     
01.03.2017 00:00:00   ;    13,5 ;     
01.04.2017 00:00:00   ;    13,5 ;     
01.05.2017 00:00:00   ;    13,5 ;     
01.06.2017 00:00:00   ;    13,5 ;     
01.07.2017 00:00:00   ;    13,5 ;     
01.08.2017 00:00:00   ;    13,5 ;     
01.09.2017 00:00:00   ;    13,5 ;     
01.10.2017 00:00:00   ;    13,4 ;     
01.11.2017 00:00:00   ;    13,4 ;     
01.12.2017 00:00:00   ;    13,5 ;     
01.01.2018 00:00:00   ;    13,5 ;     
01.02.2018 00:00:00   ;    13,4 ;     
01.03.2018 00:00:00   ;    13,4 ;     
01.04.2018 00:00:00   ;    13,5 ;     
01.05.2018 00:00:00   ;    13,4 ;     
01.06.2018 00:00:00   ;    13,2 ;     
01.07.2018 00:00:00   ;    13,3 ;     
01.08.2018 00:00:00   ;    13,4 ;     
01.09.2018 00:00:00   ;    13,5 ;     
01.10.2018 00:00:00   ;    13,5 ;     
01.11.2018 00:00:00   ;    13,5 ;     
01.12.2018 00:00:00   ;    13,5 ;     
01.01.2019 00:00:00   ;    13,5 ;     
01.02.2019 00:00:00   ;    13,5 ;     
01.03.2019 00:00:00   ;    13,5 ;     
01.04.2019 00:00:00   ;    13,5 ;     
01.05.2019 00:00:00   ;    13,5 ;     
01.06.2019 00:00:00   ;    13,5 ;     
01.07.2019 00:00:00   ;    13,4 ;     
01.08.2019 00:00:00   ;    13,4 ;     
01.09.2019 00:00:00   ;    13,4 ;     
01.10.2019 00:00:00   ;    13,4 ;     
01.11.2019 00:00:00   ;    13,5 ;     
01.12.2019 00:00:00   ;    13,4 ;     
01.01.2020 00:00:00   ;    13,4 ;     
01.02.2020 00:00:00   ;    13,4 ;     
01.03.2020 00:00:00   ;    13,4 ;     
01.04.2020 00:00:00   ;    13,4 ;     
01.05.2020 00:00:00   ;    13,4 ;     
01.06.2020 00:00:00   ;    13,4 ;     
01.07.2020 00:00:00   ;    13,4 ;     
01.08.2020 00:00:00   ;    13,4 ;     
01.09.2020 00:00:00   ;    13,3 ;     
01.10.2020 00:00:00   ;    12,8 ;     
01.11.2020 00:00:00   ;    12,9 ;     
01.12.2020 00:00:00   ;    13,2 ;     
01.01.2021 00:00:00   ;    13,5 ;     
01.02.2021 00:00:00   ;    13,5 ;     
01.03.2021 00:00:00   ;    13,5 ;     
01.04.2021 00:00:00   ;    13,5 ;     
01.05.2021 00:00:00   ;    13,5 ;     
01.06.2021 00:00:00   ;    13,5 ;     
01.07.2021 00:00:00   ;    13,5 ;     
01.08.2021 00:00:00   ;    13,5 ;     
01.09.2021 00:00:00   ;    13,5 ;     
01.10.2021 00:00:00   ;    13,5 ;     
01.11.2021 00:00:00   ;    13,5 ;     
01.12.2021 00:00:00   ;    13,5 ;     
01.01.2022 00:00:00   ;Lücke        ; 
