Messstelle:                ;Obersafen, Br   5967
HZB-Nummer:                ;343772
HD-Nummer:                 ;uw5967
DBMS-Nummer:               ;6003352
PorenGW-Gebiet:            ;337 Safental
Grundwasserkörper:         ;Safental [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Privat
Höhenangaben [m ü.A.]:     ;gültig seit: ;18.05.2004
 Geländehöhe:              ;351,08
 Messpunkthöhe:            ;351,53
 Sohllage:                 ;345,03
 T-Messtiefe u.GOK:        ;5,55
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  18.05.2004               ;16 00 33                 ;47 18 51
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 18.5.04: 5.55 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.03.2018 00:00:00   ;     9,4 ;     
01.04.2018 00:00:00   ;     9,6 ;     
01.05.2018 00:00:00   ;    10,1 ;     
01.06.2018 00:00:00   ;    10,5 ;     
01.07.2018 00:00:00   ;    10,8 ;     
01.08.2018 00:00:00   ;    11,2 ;     
01.09.2018 00:00:00   ;    11,7 ;     
01.10.2018 00:00:00   ;    12,1 ;     
01.11.2018 00:00:00   ;    12,3 ;     
01.12.2018 00:00:00   ;    11,7 ;     
01.01.2019 00:00:00   ;    10,8 ;     
01.02.2019 00:00:00   ;    10,3 ;     
01.03.2019 00:00:00   ;    10,2 ;     
01.04.2019 00:00:00   ;    10,4 ;     
01.05.2019 00:00:00   ;    10,7 ;     
01.06.2019 00:00:00   ;    11,0 ;     
01.07.2019 00:00:00   ;    11,2 ;     
01.08.2019 00:00:00   ;    11,5 ;     
01.09.2019 00:00:00   ;    11,9 ;     
01.10.2019 00:00:00   ;    12,3 ;     
01.11.2019 00:00:00   ;    12,5 ;     
01.12.2019 00:00:00   ;    11,8 ;     
01.01.2020 00:00:00   ;    10,9 ;     
01.02.2020 00:00:00   ;    10,4 ;     
01.03.2020 00:00:00   ;    10,2 ;     
01.04.2020 00:00:00   ;    10,3 ;     
01.05.2020 00:00:00   ;    10,7 ;     
01.06.2020 00:00:00   ;    11,0 ;     
01.07.2020 00:00:00   ;    11,2 ;     
01.08.2020 00:00:00   ;    11,5 ;     
01.09.2020 00:00:00   ;    11,9 ;     
01.10.2020 00:00:00   ;    12,3 ;     
01.11.2020 00:00:00   ;    12,5 ;     
01.12.2020 00:00:00   ;    11,8 ;     
01.01.2021 00:00:00   ;    10,9 ;     
01.02.2021 00:00:00   ;    10,2 ;     
01.03.2021 00:00:00   ;     9,8 ;     
01.04.2021 00:00:00   ;     9,9 ;     
01.05.2021 00:00:00   ;    10,2 ;     
01.06.2021 00:00:00   ;    10,6 ;     
01.07.2021 00:00:00   ;    11,0 ;     
01.08.2021 00:00:00   ;    11,3 ;     
01.09.2021 00:00:00   ;    11,7 ;     
01.10.2021 00:00:00   ;    12,0 ;     
01.11.2021 00:00:00   ;    12,0 ;     
01.12.2021 00:00:00   ;    11,1 ;     
01.01.2022 00:00:00   ;Lücke        ; 
