Messstelle:                ;Werfen, P 603
HZB-Nummer:                ;361311
HD-Nummer:                 ;
DBMS-Nummer:               ;5002455
PorenGW-Gebiet:            ;029 Mittleres Salzachtal
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.03.2016
 Geländehöhe:              ;522,41
 Messpunkthöhe:            ;523,30
 Sohllage:                 ;511,07
 T-Messtiefe u.GOK:        ;10,11
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  17.03.2016               ;13 11 27                 ;47 28 46
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 17.3.16: 10.11 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.04.2016 00:00:00   ;     9,8 ;     
01.05.2016 00:00:00   ;     9,6 ;     
01.06.2016 00:00:00   ;     9,5 ;     
01.07.2016 00:00:00   ;     9,5 ;     
01.08.2016 00:00:00   ;     9,5 ;     
01.09.2016 00:00:00   ;     9,7 ;     
01.10.2016 00:00:00   ;     9,9 ;     
01.11.2016 00:00:00   ;    10,1 ;     
01.12.2016 00:00:00   ;    10,3 ;     
01.01.2017 00:00:00   ;    10,4 ;     
01.02.2017 00:00:00   ;    10,4 ;     
01.03.2017 00:00:00   ;    10,2 ;     
01.04.2017 00:00:00   ;    10,0 ;     
01.05.2017 00:00:00   ;     9,7 ;     
01.06.2017 00:00:00   ;     9,6 ;     
01.07.2017 00:00:00   ;     9,5 ;     
01.08.2017 00:00:00   ;     9,6 ;     
01.09.2017 00:00:00   ;     9,8 ;     
01.10.2017 00:00:00   ;    10,1 ;     
01.11.2017 00:00:00   ;    10,3 ;     
01.12.2017 00:00:00   ;    10,5 ;     
01.01.2018 00:00:00   ;    10,5 ;     
01.02.2018 00:00:00   ;    10,5 ;     
01.03.2018 00:00:00   ;    10,4 ;     
01.04.2018 00:00:00   ;    10,2 ;     
01.05.2018 00:00:00   ;    10,0 ;     
01.06.2018 00:00:00   ;     9,8 ;     
01.07.2018 00:00:00   ;     9,7 ;     
01.08.2018 00:00:00   ;     9,7 ;     
01.09.2018 00:00:00   ;     9,9 ;     
01.10.2018 00:00:00   ;    10,0 ;     
01.11.2018 00:00:00   ;    10,3 ;     
01.12.2018 00:00:00   ;    10,4 ;     
01.01.2019 00:00:00   ;    10,5 ;     
01.02.2019 00:00:00   ;    10,4 ;     
01.03.2019 00:00:00   ;    10,3 ;     
01.04.2019 00:00:00   ;    10,0 ;     
01.05.2019 00:00:00   ;     9,7 ;     
01.06.2019 00:00:00   ;     9,3 ;     
01.07.2019 00:00:00   ;     9,2 ;     
01.08.2019 00:00:00   ;     9,2 ;     
01.09.2019 00:00:00   ;     9,5 ;     
01.10.2019 00:00:00   ;     9,6 ;     
01.11.2019 00:00:00   ;     9,8 ;     
01.12.2019 00:00:00   ;    10,2 ;     
01.01.2020 00:00:00   ;    10,3 ;     
01.02.2020 00:00:00   ;    10,4 ;     
01.03.2020 00:00:00   ;    10,2 ;     
01.04.2020 00:00:00   ;    10,0 ;     
01.05.2020 00:00:00   ;     9,8 ;     
01.06.2020 00:00:00   ;     9,8 ;     
01.07.2020 00:00:00   ;     9,7 ;     
01.08.2020 00:00:00   ;     9,8 ;     
01.09.2020 00:00:00   ;     9,9 ;     
01.10.2020 00:00:00   ;    10,1 ;     
01.11.2020 00:00:00   ;    10,4 ;     
01.12.2020 00:00:00   ;    10,6 ;     
01.01.2021 00:00:00   ;    10,7 ;     
01.02.2021 00:00:00   ;    10,7 ;     
01.03.2021 00:00:00   ;    10,6 ;     
01.04.2021 00:00:00   ;    10,4 ;     
01.05.2021 00:00:00   ;    10,2 ;     
01.06.2021 00:00:00   ;    10,1 ;     
01.07.2021 00:00:00   ;    10,0 ;     
01.08.2021 00:00:00   ;    10,0 ;     
01.09.2021 00:00:00   ;    10,2 ;     
01.10.2021 00:00:00   ;    10,3 ;     
01.11.2021 00:00:00   ;    10,4 ;     
01.12.2021 00:00:00   ;    10,5 ;     
01.01.2022 00:00:00   ;Lücke        ; 
