Messstelle:                ;Feldkirch, Bl 01.32.55
HZB-Nummer:                ;379230
HD-Nummer:                 ;01.32.55
DBMS-Nummer:               ;8002467
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;12.04.2019
 Geländehöhe:              ;456,74
 Messpunkthöhe:            ;457,37
 Sohllage:                 ;440,34
 T-Messtiefe u.GOK:        ;15,97
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.04.1982               ;09 35 33                 ;47 14 10
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 1.4.82: 16 - 12.4.19: 15.97 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.05.2012 00:00:00   ;    11,7 ;     
01.06.2012 00:00:00   ;    11,5 ;     
01.07.2012 00:00:00   ;    11,7 ;     
01.08.2012 00:00:00   ;    11,7 ;     
01.09.2012 00:00:00   ;    12,0 ;     
01.10.2012 00:00:00   ;    12,5 ;     
01.11.2012 00:00:00   ;    13,0 ;     
01.12.2012 00:00:00   ;    13,2 ;     
01.01.2013 00:00:00   ;    13,2 ;     
01.02.2013 00:00:00   ;    12,7 ;     
01.03.2013 00:00:00   ;    12,3 ;     
01.04.2013 00:00:00   ;    11,6 ;     
01.05.2013 00:00:00   ;    11,3 ;     
