Messstelle:                ;Pitschgau, Bl   4352
HZB-Nummer:                ;356626
HD-Nummer:                 ;uw4352
DBMS-Nummer:               ;6003576
PorenGW-Gebiet:            ;392 Saggautal
Grundwasserkörper:         ;Saggautal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;10.04.2008
 Geländehöhe:              ;333,61
 Messpunkthöhe:            ;334,46
 Sohllage:                 ;329,01
 T-Messtiefe u.GOK:        ;4,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  10.04.2008               ;15 17 40                 ;46 42 08
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 10.4.08: 4.15 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.08.2008 00:00:00   ;    13,9 ;     
01.09.2008 00:00:00   ;    14,5 ;     
01.10.2008 00:00:00   ;    14,2 ;     
01.11.2008 00:00:00   ;    13,4 ;     
01.12.2008 00:00:00   ;    11,4 ;     
01.01.2009 00:00:00   ;     9,6 ;     
01.02.2009 00:00:00   ;     8,1 ;     
01.03.2009 00:00:00   ;     7,7 ;     
01.04.2009 00:00:00   ;     8,1 ;     
01.05.2009 00:00:00   ;     9,2 ;     
01.06.2009 00:00:00   ;    10,7 ;     
01.07.2009 00:00:00   ;    12,1 ;     
01.08.2009 00:00:00   ;    13,4 ;     
01.09.2009 00:00:00   ;    14,3 ;     
01.10.2009 00:00:00   ;    14,4 ;     
01.11.2009 00:00:00   ;    13,6 ;     
01.12.2009 00:00:00   ;    11,8 ;     
01.01.2010 00:00:00   ;    10,3 ;     
01.02.2010 00:00:00   ;     8,7 ;     
01.03.2010 00:00:00   ;     7,9 ;     
01.04.2010 00:00:00   ;     8,3 ;     
01.05.2010 00:00:00   ;     9,2 ;     
01.06.2010 00:00:00   ;    10,4 ;     
01.07.2010 00:00:00   ;    12,0 ;     
01.08.2010 00:00:00   ;    13,2 ;     
01.09.2010 00:00:00   ;    14,0 ;     
01.10.2010 00:00:00   ;    13,9 ;     
01.11.2010 00:00:00   ;    13,0 ;     
01.12.2010 00:00:00   ;    11,2 ;     
01.01.2011 00:00:00   ;     9,5 ;     
01.02.2011 00:00:00   ;     8,5 ;     
01.03.2011 00:00:00   ;     7,8 ;     
01.04.2011 00:00:00   ;     8,2 ;     
01.05.2011 00:00:00   ;     9,1 ;     
01.06.2011 00:00:00   ;    10,5 ;     
01.07.2011 00:00:00   ;    12,2 ;     
01.08.2011 00:00:00   ;    13,4 ;     
01.09.2011 00:00:00   ;    14,0 ;     
01.10.2011 00:00:00   ;    14,2 ;     
01.11.2011 00:00:00   ;    13,4 ;     
01.12.2011 00:00:00   ;    12,1 ;     
01.01.2012 00:00:00   ;    10,3 ;     
01.02.2012 00:00:00   ;     9,0 ;     
01.03.2012 00:00:00   ;     8,1 ;     
01.04.2012 00:00:00   ;     8,5 ;     
01.05.2012 00:00:00   ;     9,5 ;     
01.06.2012 00:00:00   ;    10,8 ;     
01.07.2012 00:00:00   ;    12,3 ;     
01.08.2012 00:00:00   ;    13,2 ;     
01.09.2012 00:00:00   ;    13,8 ;     
01.10.2012 00:00:00   ;    14,0 ;     
01.11.2012 00:00:00   ;    13,5 ;     
01.12.2012 00:00:00   ;    11,9 ;     
01.01.2013 00:00:00   ;    10,2 ;     
01.02.2013 00:00:00   ;     8,8 ;     
01.03.2013 00:00:00   ;     7,6 ;     
01.04.2013 00:00:00   ;     7,6 ;     
01.05.2013 00:00:00   ;     8,8 ;     
01.06.2013 00:00:00   ;    10,4 ;     
01.07.2013 00:00:00   ;    11,9 ;     
01.08.2013 00:00:00   ;    12,8 ;     
01.09.2013 00:00:00   ;    13,4 ;     
01.10.2013 00:00:00   ;    13,6 ;     
01.11.2013 00:00:00   ;    13,0 ;     
01.12.2013 00:00:00   ;    11,7 ;     
01.01.2014 00:00:00   ;    10,0 ;     
01.02.2014 00:00:00   ;     8,7 ;     
01.03.2014 00:00:00   ;     8,6 ;     
01.04.2014 00:00:00   ;     9,1 ;     
01.05.2014 00:00:00   ;    10,0 ;     
01.06.2014 00:00:00   ;    11,2 ;     
01.07.2014 00:00:00   ;    12,6 ;     
01.08.2014 00:00:00   ;    13,6 ;     
01.09.2014 00:00:00   ;    14,1 ;     
01.10.2014 00:00:00   ;    13,9 ;     
01.11.2014 00:00:00   ;    13,6 ;     
01.12.2014 00:00:00   ;    12,5 ;     
01.01.2015 00:00:00   ;    10,8 ;     
01.02.2015 00:00:00   ;     9,5 ;     
01.03.2015 00:00:00   ;     8,9 ;     
01.04.2015 00:00:00   ;     9,0 ;     
01.05.2015 00:00:00   ;     9,7 ;     
01.06.2015 00:00:00   ;    10,7 ;     
01.07.2015 00:00:00   ;    12,0 ;     
01.08.2015 00:00:00   ;    16,2 ;     
01.09.2015 00:00:00   ;    17,2 ;     
01.10.2015 00:00:00   ;    15,3 ;     
01.11.2015 00:00:00   ;    13,7 ;     
