Messstelle:                ;Eberschwang, Br 1.1
HZB-Nummer:                ;344028
HD-Nummer:                 ;HD4003102
DBMS-Nummer:               ;4003102
PorenGW-Gebiet:            ;084 Antiesengebiet
Grundwasserkörper:         ;Gruppe Schlierhügelland [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.04.2015
 Geländehöhe:              ;519,11
 Messpunkthöhe:            ;519,21
 Sohllage:                 ;512,69
 T-Messtiefe u.GOK:        ;6,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;13 32 48                 ;48 09 32
  01.01.2002               ;13 32 48                 ;48 09 32
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 17.4.15: 6.1 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.05.2015 00:00:00   ;     9,8 ;     
01.06.2015 00:00:00   ;    10,2 ;     
01.07.2015 00:00:00   ;    10,5 ;     
01.08.2015 00:00:00   ;    10,8 ;     
01.09.2015 00:00:00   ;    11,2 ;     
01.10.2015 00:00:00   ;    11,5 ;     
01.11.2015 00:00:00   ;    11,6 ;     
01.12.2015 00:00:00   ;    11,2 ;     
01.01.2016 00:00:00   ;    10,3 ;     
01.02.2016 00:00:00   ;     9,5 ;     
01.03.2016 00:00:00   ;     9,5 ;     
01.04.2016 00:00:00   ;     9,8 ;     
01.05.2016 00:00:00   ;    10,1 ;     
01.06.2016 00:00:00   ;    10,3 ;     
01.07.2016 00:00:00   ;    10,7 ;     
01.08.2016 00:00:00   ;    11,2 ;     
01.09.2016 00:00:00   ;    11,6 ;     
01.10.2016 00:00:00   ;    12,0 ;     
01.11.2016 00:00:00   ;    11,9 ;     
01.12.2016 00:00:00   ;    10,9 ;     
01.01.2017 00:00:00   ;     9,9 ;     
01.02.2017 00:00:00   ;     9,0 ;     
01.03.2017 00:00:00   ;     8,8 ;     
01.04.2017 00:00:00   ;     9,2 ;     
01.05.2017 00:00:00   ;     9,4 ;     
01.06.2017 00:00:00   ;     9,9 ;     
01.07.2017 00:00:00   ;    10,4 ;     
01.08.2017 00:00:00   ;    11,1 ;     
01.09.2017 00:00:00   ;    11,7 ;     
01.10.2017 00:00:00   ;    12,0 ;     
01.11.2017 00:00:00   ;    11,9 ;     
01.12.2017 00:00:00   ;    10,7 ;     
01.01.2018 00:00:00   ;     9,6 ;     
01.02.2018 00:00:00   ;     9,2 ;     
01.03.2018 00:00:00   ;     8,9 ;     
01.04.2018 00:00:00   ;     9,1 ;     
01.05.2018 00:00:00   ;    10,5 ;     
01.06.2018 00:00:00   ;    11,2 ;     
01.07.2018 00:00:00   ;    11,6 ;     
01.08.2018 00:00:00   ;    12,4 ;     
01.09.2018 00:00:00   ;    13,0 ;     
01.10.2018 00:00:00   ;    12,6 ;     
01.11.2018 00:00:00   ;    11,8 ;     
01.12.2018 00:00:00   ;    10,8 ;     
01.01.2019 00:00:00   ;     9,3 ;     
01.02.2019 00:00:00   ;     8,7 ;     
01.03.2019 00:00:00   ;     8,5 ;     
01.04.2019 00:00:00   ;     9,1 ;     
01.05.2019 00:00:00   ;     9,6 ;     
01.06.2019 00:00:00   ;     9,9 ;     
01.07.2019 00:00:00   ;    10,7 ;     
01.08.2019 00:00:00   ;    11,7 ;     
01.09.2019 00:00:00   ;    12,3 ;     
01.10.2019 00:00:00   ;    12,5 ;     
01.11.2019 00:00:00   ;    11,8 ;     
01.12.2019 00:00:00   ;    10,9 ;     
01.01.2020 00:00:00   ;    10,1 ;     
01.02.2020 00:00:00   ;     9,1 ;     
01.03.2020 00:00:00   ;     9,1 ;     
01.04.2020 00:00:00   ;     9,4 ;     
01.05.2020 00:00:00   ;     9,8 ;     
01.06.2020 00:00:00   ;    10,1 ;     
01.07.2020 00:00:00   ;    10,9 ;     
01.08.2020 00:00:00   ;    12,0 ;     
01.09.2020 00:00:00   ;    12,5 ;     
01.10.2020 00:00:00   ;    12,9 ;     
01.11.2020 00:00:00   ;    12,2 ;     
01.12.2020 00:00:00   ;    10,9 ;     
01.01.2021 00:00:00   ;    10,0 ;     
01.02.2021 00:00:00   ;     9,1 ;     
01.03.2021 00:00:00   ;     9,0 ;     
01.04.2021 00:00:00   ;     9,1 ;     
01.05.2021 00:00:00   ;     9,4 ;     
01.06.2021 00:00:00   ;     9,8 ;     
01.07.2021 00:00:00   ;    10,5 ;     
01.08.2021 00:00:00   ;    11,9 ;     
01.09.2021 00:00:00   ;    12,5 ;     
01.10.2021 00:00:00   ;    12,5 ;     
01.11.2021 00:00:00   ;    11,5 ;     
01.12.2021 00:00:00   ;    10,6 ;     
01.01.2022 00:00:00   ;Lücke        ; 
