Messstelle:                ;Hirt
HZB-Nummer:                ;212894
HD-Nummer:                 ;00531
DBMS-Nummer:               ;2001051
Gewässer:                  ;Metnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;469,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00602,00
   01.01.1983              ;00602,13
   14.06.2004              ;00602,11
   01.01.2022              ;00602,15
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;534249,39 - 196349,44
   04.08.2015              ;534389,00 - 196278,00
   30.11.2017              ;534395,00 - 196261,00
   01.01.2022              ;534223,67 - 196434,47
Exportzeitreihe:           ;(2001051,WTemperatur,I,Mit,M,1,F,Z,0,,,)
Einheit:                   ;[°C]
Exportzeitraum:            ;[01.01.2016 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.2016 00:00:00;   2,7
01.02.2016 00:00:00;   4,4
01.03.2016 00:00:00;   5,5
01.04.2016 00:00:00;   8,5
01.05.2016 00:00:00;  10,3
01.06.2016 00:00:00;  12,3
01.07.2016 00:00:00;  13,5
01.08.2016 00:00:00;  12,8
01.09.2016 00:00:00;  12,0
01.10.2016 00:00:00;   8,6
01.11.2016 00:00:00;   5,7
01.12.2016 00:00:00;   3,0
01.01.2017 00:00:00;   1,7
01.02.2017 00:00:00;   4,0
01.03.2017 00:00:00;   6,6
01.04.2017 00:00:00;   8,3
01.05.2017 00:00:00;  11,5
01.06.2017 00:00:00;  14,0
01.07.2017 00:00:00;  14,2
01.08.2017 00:00:00;  13,8
01.09.2017 00:00:00;  10,8
01.10.2017 00:00:00;   8,6
01.11.2017 00:00:00;   5,6
01.12.2017 00:00:00;   2,7
01.01.2018 00:00:00;   3,4
01.02.2018 00:00:00;   2,8
01.03.2018 00:00:00;   4,4
01.04.2018 00:00:00;   8,5
01.05.2018 00:00:00;  10,8
01.06.2018 00:00:00;  12,1
01.07.2018 00:00:00;  13,3
01.08.2018 00:00:00;  14,1
01.09.2018 00:00:00;  12,1
01.10.2018 00:00:00;   9,5
01.11.2018 00:00:00;   7,2
01.12.2018 00:00:00;   3,5
01.01.2019 00:00:00;   2,5
01.02.2019 00:00:00;   3,6
01.03.2019 00:00:00;   6,0
01.04.2019 00:00:00;   8,5
01.05.2019 00:00:00;   9,2
01.06.2019 00:00:00;  13,8
01.07.2019 00:00:00;  14,1
01.08.2019 00:00:00;  14,2
01.09.2019 00:00:00;  11,8
01.10.2019 00:00:00;   9,6
01.11.2019 00:00:00;   7,2
01.12.2019 00:00:00;   4,0
01.01.2020 00:00:00;   2,9
01.02.2020 00:00:00;   4,2
01.03.2020 00:00:00;   5,5
01.04.2020 00:00:00;   8,6
01.05.2020 00:00:00;  10,5
01.06.2020 00:00:00;  12,3
01.07.2020 00:00:00;  13,1
01.08.2020 00:00:00;  13,6
01.09.2020 00:00:00;  11,9
01.10.2020 00:00:00;   8,7
01.11.2020 00:00:00;   5,7
01.12.2020 00:00:00;   3,7
01.01.2021 00:00:00;   2,3
01.02.2021 00:00:00;   3,6
01.03.2021 00:00:00;   4,6
01.04.2021 00:00:00;   6,5
01.05.2021 00:00:00;   9,2
01.06.2021 00:00:00;  13,5
01.07.2021 00:00:00;  14,5
01.08.2021 00:00:00;  13,5
01.09.2021 00:00:00;  12,0
01.10.2021 00:00:00;   8,3
01.11.2021 00:00:00;   5,7
01.12.2021 00:00:00;   2,5
01.01.2022 00:00:00; Lücke
