Messstelle:                ;Flattach
HZB-Nummer:                ;213124
HD-Nummer:                 ;00071
DBMS-Nummer:               ;2001068
Gewässer:                  ;Möll
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;705,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1972              ;00687,34
   11.10.1983              ;00687,15
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1972              ;435266,00 - 199413,05
   11.10.1983              ;435108,00 - 199384,00
   01.11.1999              ;435108,00 - 199384,00
Exportzeitreihe:           ;(2001068,WTemperatur,I,Mit,M,1,M,Z,0,,,)
Einheit:                   ;[°C]
Exportzeitraum:            ;[01.01.2013 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.2013 00:00:00;   2,5
01.02.2013 00:00:00;   2,5
01.03.2013 00:00:00;   3,7
01.04.2013 00:00:00;   6,3
01.05.2013 00:00:00;   7,4
01.06.2013 00:00:00;   9,9
01.07.2013 00:00:00;  12,7
01.08.2013 00:00:00;  12,8
01.09.2013 00:00:00;  10,3
01.10.2013 00:00:00;   7,7
01.11.2013 00:00:00;   4,9
01.12.2013 00:00:00;   2,8
01.01.2014 00:00:00;   2,9
01.02.2014 00:00:00;   3,3
01.03.2014 00:00:00;   4,8
01.04.2014 00:00:00;   6,6
01.05.2014 00:00:00;   7,4
01.06.2014 00:00:00;   9,2
01.07.2014 00:00:00;  11,0
01.08.2014 00:00:00;  11,1
01.09.2014 00:00:00;   9,8
01.10.2014 00:00:00;   8,3
01.11.2014 00:00:00;   6,1
01.12.2014 00:00:00;   3,6
01.01.2015 00:00:00;   2,7
01.02.2015 00:00:00;   2,9
01.03.2015 00:00:00;   4,4
01.04.2015 00:00:00;   6,7
01.05.2015 00:00:00;   8,5
01.06.2015 00:00:00;  10,3
01.07.2015 00:00:00;  12,9
01.08.2015 00:00:00;  12,6
01.09.2015 00:00:00;  10,0
01.10.2015 00:00:00;   7,3
01.11.2015 00:00:00;   5,0
01.12.2015 00:00:00;   2,7
01.01.2016 00:00:00;   2,5
01.02.2016 00:00:00;   3,8
01.03.2016 00:00:00;   5,0
01.04.2016 00:00:00;   6,8
01.05.2016 00:00:00;   8,0
01.06.2016 00:00:00;   9,7
01.07.2016 00:00:00;  11,8
01.08.2016 00:00:00;  11,7
01.09.2016 00:00:00;  10,4
01.10.2016 00:00:00;   7,4
01.11.2016 00:00:00;   4,7
01.12.2016 00:00:00;   2,3
01.01.2017 00:00:00;   1,6
01.02.2017 00:00:00;   3,2
01.03.2017 00:00:00;   6,4
01.04.2017 00:00:00;   7,4
01.05.2017 00:00:00;   9,2
01.06.2017 00:00:00;  11,8
01.07.2017 00:00:00;  12,4
01.08.2017 00:00:00;  12,5
01.09.2017 00:00:00;   8,9
01.10.2017 00:00:00;   7,5
01.11.2017 00:00:00;   4,2
01.12.2017 00:00:00;   2,2
01.01.2018 00:00:00;   2,4
01.02.2018 00:00:00;   2,2
01.03.2018 00:00:00;   3,7
01.04.2018 00:00:00;   6,9
01.05.2018 00:00:00;   8,1
01.06.2018 00:00:00;  10,5
01.07.2018 00:00:00;  12,1
01.08.2018 00:00:00;  12,8
01.09.2018 00:00:00;  10,8
01.10.2018 00:00:00;   8,2
01.11.2018 00:00:00;   5,6
01.12.2018 00:00:00;   3,7
01.01.2019 00:00:00;   2,2
01.02.2019 00:00:00;   2,7
01.03.2019 00:00:00;   5,4
01.04.2019 00:00:00;   6,7
01.05.2019 00:00:00;   7,3
01.06.2019 00:00:00;  10,1
01.07.2019 00:00:00;  11,7
01.08.2019 00:00:00;  12,2
01.09.2019 00:00:00;   9,9
01.10.2019 00:00:00;   8,1
01.11.2019 00:00:00;   5,0
01.12.2019 00:00:00;   3,3
01.01.2020 00:00:00;   2,7
01.02.2020 00:00:00;   3,6
01.03.2020 00:00:00;   4,9
01.04.2020 00:00:00;   6,5
01.05.2020 00:00:00;   7,8
01.06.2020 00:00:00;   9,4
01.07.2020 00:00:00;  11,2
01.08.2020 00:00:00;  12,3
01.09.2020 00:00:00;  10,3
01.10.2020 00:00:00;   7,0
01.11.2020 00:00:00;   4,9
01.12.2020 00:00:00;   2,6
01.01.2021 00:00:00;   2,1
01.02.2021 00:00:00;   3,0
01.03.2021 00:00:00;   4,2
01.04.2021 00:00:00;   6,2
01.05.2021 00:00:00;   7,0
01.06.2021 00:00:00;   8,8
01.07.2021 00:00:00;  10,5
01.08.2021 00:00:00;  11,1
01.09.2021 00:00:00;  10,5
01.10.2021 00:00:00;   7,3
01.11.2021 00:00:00;   4,8
01.12.2021 00:00:00;   1,9
01.01.2022 00:00:00; Lücke
